,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/marilynandsarah/status/1728911528932393458#m,"Cause me to understand the way of Your precepts, that I may meditate on Your wonderful deeds. Psalm 119:27 #Reliance","Nov 26, 2023 · 11:00 PM UTC",24,1
1,https://twitter.com/marilynandsarah/status/1728881343537246562#m,"While the earth remains, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease. Genesis 8:22 #Reliance","Nov 26, 2023 · 9:00 PM UTC",35,1
2,https://twitter.com/thecaravanindia/status/1728858662167568580#m,"#TheGuptaPapers | Sushen’s documents showed that, for over a decade, the Gupta companies had been receiving commissions from manufacturers for defence production done by #HAL. Now, they hoped to build a larger structure over #Reliance.  @nileenams ✍️ https://caravanmagazine.in/reportage/gupta-papers-rafale-deal-agusta-westland-sushen-gupta","Nov 26, 2023 · 7:30 PM UTC",2,0
3,https://twitter.com/Ramesh_views/status/1728851659802231232#m,#Reliance(W)   (W) - weekly TF  Sharing the chart for one follower's ask.  #Comment down if you want chart for any stocks.   Disc  : Trade as per your setup/Risk. No Buy/Sell Reco.Charts for educational purpose. DYOR  #Like #Follow #RT for more such charts  @Stocktwit_IN,"Nov 26, 2023 · 7:02 PM UTC",1,0
4,https://twitter.com/sebaenetworks/status/1728846319983476960#m,Solving customer challenges with multiparty private offers through the marketplace #cloud #customers #have #increased #reliance https://tinyurl.com/yo2bonb2,"Nov 26, 2023 · 6:40 PM UTC",0,0
5,https://twitter.com/paulbern77/status/1728841914299109577#m,"Bonus posting for this holiday weekend, all about the Web outage we just experienced from the Social Gospel Blog with Minister Paul J. Bern: ""Six Days Without Internet; What It's Like"" https://medium.com/@greatestservant62/bonus-posting-from-the-social-gospel-blog-with-minister-paul-j-bern-a200df14d389 #internet #technology #dependence #reliance #ChristianBlogs #truth","Nov 26, 2023 · 6:23 PM UTC",1,0
6,https://twitter.com/PABAT_Academy/status/1728832448233156834#m,#GlandPharma might manifest #buying #pressure near 1736.15  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Nov 26, 2023 · 5:45 PM UTC",2,0
7,https://twitter.com/PABAT_Academy/status/1728830291522036205#m,#Suvenpharma might manifest #buying #pressure near 612.95  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Nov 26, 2023 · 5:37 PM UTC",2,0
8,https://twitter.com/PABAT_Academy/status/1728828993594601611#m,#Sparc might manifest #buying #pressure near 261.00  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Nov 26, 2023 · 5:32 PM UTC",1,0
9,https://twitter.com/ImRajeshKurra/status/1728827414292427252#m,India Won by 44 Runs.  Peak Viewership of JioCinema is 22 Crore.  #INDvAUS #JioCinema #Jio #Reliance,"Nov 26, 2023 · 5:25 PM UTC",0,0
