,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/TechStoryin/status/1676342667284828161#m,Jio Bharath Is Unstoppable ❗📈 ow.ly/VnSv50P34Ka #jio #reliance #reliancejio #reliancetelecom #jioindia #jiotelecom #telecomgiant #jiobharat #bharat #digitalpay #digitalindia,"Jul 4, 2023 · 9:30 PM UTC",0,0
1,https://twitter.com/zigi_be/status/1676321425928462337#m,#Reliance is one of the most #profitable companies in #India. More: https://zg.ink/reliance,"Jul 4, 2023 · 8:05 PM UTC",0,0
2,https://twitter.com/codexabcd/status/1676311991856558085#m,"#RelianceIndustries    33.33% decline ~ 1904.10, cmp 2625 1.902 ~ Bruns constant  Invalidation above ATH ~ 2856.15  #Reliance #Jio","Jul 4, 2023 · 7:28 PM UTC",6,1
3,https://twitter.com/kshamamittals/status/1676311961330671617#m,Check out my #RELIANCE analysis on @TradingView: https://www.tradingview.com/x/Z7J1LMo1/,"Jul 4, 2023 · 7:28 PM UTC",1,0
4,https://twitter.com/kshamamittals/status/1676310827278958592#m,Check out my #RELIANCE analysis on @TradingView: https://www.tradingview.com/x/6k4W3Rje/,"Jul 4, 2023 · 7:23 PM UTC",0,0
5,https://twitter.com/TradingSiksha/status/1676298085750697991#m,"Banknifty - Platform Number 6 can be dangerous, until then enjoy the Party..  #nifty #banknifty #reliance #HDFCMerger #HDFCBank #HDFC #GIFTNIFTY #risingwedge #tradingsiksha #ECG #CDI","Jul 4, 2023 · 6:33 PM UTC",1,3
6,https://twitter.com/TradingSiksha/status/1676297328271978513#m,Monthly E.C.G. Levels for Nifty  Roadmap for Nifty for the entire month of July.. Mark your charts....   #Nifty #reliance #banknifty #GIFTNIFTY,"Jul 4, 2023 · 6:30 PM UTC",0,0
7,https://twitter.com/nadar_subb55035/status/1676290604203130882#m,Hope your replies are not limited to #Reliance or Ambani's. Netmeds user.,"Jul 4, 2023 · 6:03 PM UTC",0,0
8,https://twitter.com/BusinessNewsPo1/status/1676289936788697088#m,"#Sensex Rallies 274.00 points (0.42%) to Close At 65479.05, Today’s High – 65672.97 (NewHigh), Today’s Low – 65171.06 Top Losers #BhartiAirtel Slips 1.54% #AxisBank Declines 1.18% #Reliance Falls 1.03% #IndusindBank Drops 0.89%","Jul 4, 2023 · 6:00 PM UTC",1,1
9,https://twitter.com/itradebrains/status/1676288819837161472#m,FII Cash & Derivative Statistics Dated 04/07/2023  #nifty #nifty50 #niftyoptions #Niftyfutures #niftyfinance #NIFTYIT #banknifty #NiftyBank #nifty500 #OptionsTrading #optiontrading #optionkipathshala #OptionChain #optionbuying #zerodha #hdfcbank #Reliance #ICICIBank #ICICI #sbin,"Jul 4, 2023 · 5:56 PM UTC",0,1
10,https://twitter.com/BusinessNewsPo1/status/1676287831755624448#m,#Reliance Falls 1.03% #IndusindBank Drops 0.94% #SBILife Declines 0.67% #UltraTechCement Slips 0.62% #TataSteel Loses 0.62% #HDFCLife Drops 0.57% #UPL Slips 0.49% #NSE #StockMarket #StockMarketUpdate #StockMarketIndia #Nifty,"Jul 4, 2023 · 5:52 PM UTC",0,0
11,https://twitter.com/kamisama_kotoba/status/1676285996927959040#m,#acceptance #reliance #ConsciousnessEvolution,"Jul 4, 2023 · 5:45 PM UTC",1,0
12,https://twitter.com/SimilarStocks/status/1676284565566914560#m,":: 4th July, Monday :: #fiis #fiidata #giftnifty #sgxnifty #fiis #fiidata #banknifty #nifty #sensex #reliance #niftybank #nseix #expiry #zerodha #finnifty #sebi #reliancejio #optionbuying #optiontrading","Jul 4, 2023 · 5:39 PM UTC",1,1
13,https://twitter.com/ContextualizePb/status/1676283090665107456#m,Booked Profit 🥳  #Reliance #RIL #ContextualizePb https://nitter.projectsegfau.lt/ContextualizePb https://t.me/ContextualizePb    💃 Live with Zest 💃,"Jul 4, 2023 · 5:33 PM UTC",1,0
14,https://twitter.com/stoxtrainer/status/1676277853338611713#m,Top 4 Auto Stocks that have declared dividends in the coming weekend (Hashtags: #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #Traders #Nifty #HdfcBank #BajajFinance #Sensex #GiftNifty #Suzlon #Nasdaq)  https://invidious.projectsegfau.lt/shorts/OUYGaycLlVU?feature=share,"Jul 4, 2023 · 5:12 PM UTC",1,1
15,https://twitter.com/stoxtrainer/status/1676276787322683393#m,#BAJFINANCE has given a return more than 21.90% from our entry level 6657🔔 (Trade given on May 8) #Banks #India #Reliance #Wipro #Stocks #Markets #Bullrun #FinNifty #Traders #Nifty #HdfcBank #BajajFinance #Sensex #GiftNifty #Suzlon #Nasdaq,"Jul 4, 2023 · 5:08 PM UTC",1,1
16,https://twitter.com/Rajeshovercomer/status/1676272875911921668#m,Which Indian🇮🇳 stock 🚀is for lifetime. #SGXNIFTY #nifty #Reliance #adanienterprises #StockMarket #StocksToBuy,"Jul 4, 2023 · 4:52 PM UTC",1,0
17,https://twitter.com/gurumukhsingh/status/1676270576334417925#m,"#jio #reliancejio #customercomplaint #trai #reliance #mukeahambani  I had been using jio sim card post paid for more than 4 yrs now and all my important documents and upi are linked with that jio number. on 4 july, 2023 all of a sudden they blocked my Jio number without notice","Jul 4, 2023 · 4:43 PM UTC",0,0
18,https://twitter.com/rakesh_19840214/status/1676269614735699969#m,"@KelvinatorInd , what a pathetic service provided to me since last week. Normal refrigerator purchased under extended warranty, still your technician asks for repair fault. Its al going in circles with #Reliance and Kelvinator support team.  #help @jagograhakjago","Jul 4, 2023 · 4:39 PM UTC",0,0
