,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/kamisama_kotoba/status/1710743043060695164#m,"I trust the complete power. Thus, now is all.  完全な力を信頼。 ゆえに、今がすべて。 #reliance #InvisiblePower #NowIsAll","Oct 7, 2023 · 7:45 PM UTC",2,0
1,https://twitter.com/TechKard/status/1710723616286154860#m,"#Disney is reportedly in discussions with #Adani and #Maran regarding the potential sale of its assets in #India.  As per @business, Asset-sale talks have already been held with #Reliance Industries Ltd.","Oct 7, 2023 · 6:27 PM UTC",0,0
2,https://twitter.com/SakshiSingh020/status/1710722657896054839#m,Acquiring Jio Financial for long term! 🫱🏽‍🫲🏼  #jio #reliance #nifty50 #banknifty #StockToWatch,"Oct 7, 2023 · 6:23 PM UTC",6,0
3,https://twitter.com/rockypnjb/status/1710721467963625802#m,For Monday   #Nifty if fail to cross 19777(19800) then fresh corrective wave will start and that will be too sharp  #Banknifty it need to cross 44790-44800 else 🐻 #Reliance #SBI #TCS #HDFCBank #BajajFinance #adani,"Oct 7, 2023 · 6:19 PM UTC",0,0
4,https://twitter.com/AotAyan/status/1710710647712018830#m,Result after 10 mins..WiFi range in 2 meter..#Reliance @reliancejio #JioFiber,"Oct 7, 2023 · 5:36 PM UTC",0,1
5,https://twitter.com/FinancialSangam/status/1710706922469396732#m,"मुकेश अंबानी की कंपनी रिलायंस रिटेल को मिली बड़ी डील, अबू धाबी इंवेस्टमेंट अथॉरिटी करेगी निवेश #RelianceRetail #Reliance #ambani #BusinessNews #StockMarketindia #stockmarkets https://financialsangam.com/abu-dhabi-investment-authority-will-invest-in-mukesh-ambanis-company-reliance-retail/","Oct 7, 2023 · 5:21 PM UTC",2,0
6,https://twitter.com/IamShareholder/status/1710704824520687900#m,"@BankofIndia_IN @TheOfficialSBI @YESBANK @UCOBankOfficial Why you banks did not safeguarded future group assets (1000 stores of Big Bazaar) , how come #Reliance take all the Assets under your nose, on what basis you had given 20,000 crore loan to Future Retail. @RBI @RahulGandhi","Oct 7, 2023 · 5:13 PM UTC",15,3
7,https://twitter.com/Gapntrend/status/1710701579563913603#m,The Big Boys of the market have given 0 % returns in the last 4 years. Its time for #Reliance #HDFCBank #titan #Titan #TCS to start the upward journey. Results have been good with no appreciation in price. The rally in mid and small caps could pause.,"Oct 7, 2023 · 5:00 PM UTC",0,1
8,https://twitter.com/ranu5/status/1710693247540982257#m,"#reliance it looks weak on chart, trading under 50MA, still above 200 MA, next expected levels 2323, 2345, for support 2287, 2260, 2220. For next rally it have to break TL #stockstowatch #stockmarkets","Oct 7, 2023 · 4:27 PM UTC",6,1
9,https://twitter.com/puneetjainp/status/1710683775443829223#m,"Thanks to our Mota Bhai @reliancejio who made this possible. 🤓 #IYKYK   Acha iss baat pe yaad aaya: #reliance & #Jio stocks bhar ke Lelo, aur kaafi kuch aana baaki hai. Be a part of this growth story.  PS: Not a Reco 😉","Oct 7, 2023 · 3:49 PM UTC",0,0
10,https://twitter.com/VikasSo75032776/status/1710680948948586837#m,#RELIANCE IND: ADIA TO INVEST 49.67B RUPEES IN RELIANCE RETAIL VENTURES  ✔️ ADIA TO INVEST IN RELIANCE RETAIL VENTURES AT EQUITY VALUE OF 8.38T RUPEES  ✔️ INVESTMENT BY ADIA WILL TRANSLATE INTO AN EQUITY STAKE OF 0.59% IN RRVL ON A FULLY-DILUTED BASIS  #RelianceRetail,"Oct 7, 2023 · 3:38 PM UTC",0,0
11,https://twitter.com/sweetthoughts70/status/1710661293873729935#m,#Yahan gap … Uppar jayega  #Wahan gap …… Uppar jayega !!  2025 mein dekhenge !!  Kya patta 😭😭😭😭😭😭  #Stocks #index #wildThoughts #Nifty #banknifty #reliance #hdfcbank,"Oct 7, 2023 · 2:20 PM UTC",0,0
12,https://twitter.com/AncientStock/status/1710653099281617265#m,Fast Track to Stocks: Nifty & BankNifty Insights in 60 Seconds - 09.10.2023   #NIFTY #BANKNIFTY #ADANIENT #LUPIN #RELIANCE #SBIN #TECHM #TVSMOTOR #UPL https://youtu.be/4tO7fzv1v0E  Just Connect With Us  https://ancientstock.carrd.co/ 👈🏻,"Oct 7, 2023 · 1:47 PM UTC",0,0
13,https://twitter.com/rajputkshitij11/status/1710645119232168223#m,#adani #nifty50 #hdfc #Reliance   What will on Monday cards nifty bank nifty up or down..!!!,"Oct 7, 2023 · 1:15 PM UTC",0,0
14,https://twitter.com/sternerealtors/status/1710644755670208907#m,"#Reliance Met City is launching its Phase 2 with Affordable #ResidentialPlots. Phase 1 of the launch was a success where plots Sold Out within days at a price of 25,000/ Sq yards. Now right after a year Phase 2 has launched with a price of Rs. 60,000 per Sq Yards.  9958231212","Oct 7, 2023 · 1:14 PM UTC",0,0
15,https://twitter.com/MOT_FNO/status/1710624894617362589#m,📊5 oil based stocks which can offer 15 to 30% returns in the next 30 days 👇🏻  ONGC OIL INDIA IOC RELIANCE  GAIL  #stocks #StocksToBuy #Israel #reliance #StockMarket,"Oct 7, 2023 · 11:55 AM UTC",2,1
