,link,text,date,No_of_Likes,No_of_tweets
0,https://twitter.com/jglahc/status/1715503184263929968#m,"Reliance on God gives us all the strength we need, and He will always give us all that we need.  #KingdomOfLove #PastorKeepItReal #Reliance","Oct 20, 2023 · 11:00 PM UTC",0,0
1,https://twitter.com/Src119119/status/1715449255547240583#m,@anilambani Is celebrity endorsement enough if u don't value customer's time money & disrespect them?Been a loyal customer but Ajio questioned my integrity even post sharing video evidence on incomplete order & denied refund. youtu.be/iNU8ZePU1Ec?si… #AJIOLife #Reliance,"Oct 20, 2023 · 7:25 PM UTC",0,0
2,https://twitter.com/MoneycontrolH/status/1715422799857348835#m,"#marketswithmc  - 27 अक्टूबर को रिलायंस इंडस्ट्रीज अपने सितंबर तिमाही के नतीजे जारी करेगी, जानिए पूरी डिटेल्स  @BSEIndia @NSEIndia #Reliance #Q2Results #Q2FY24 #Q2Results #Q2 #stockmarket #market #moneycontrol https://hindi.moneycontrol.com/news/markets/reliance-industries-limited-to-declare-q2-results-on-october-27-1559661.html","Oct 20, 2023 · 5:40 PM UTC",3,0
3,https://twitter.com/jglahc/status/1715412590069989844#m,"He is our strength, for we can rely on his mighty and powerful name in any circumstance.  #KingdomOfLove #PastorKeepItReal #Mighty #Powerful #Reliance","Oct 20, 2023 · 5:00 PM UTC",0,0
4,https://twitter.com/Aa_e_eshA/status/1715409687787557258#m,"बाजार उनके राजस्व आंकड़ों पर करीब से नजर रखेगा, खासकर बदलते नियामक माहौल और कंपनी के चल रहे रणनीतिक निवेशों के बीच एक व्यापक विश्लेषण की आशा है जो कंपनी के विकास पथ और जटिल बाजार स्थितियों को नेविगेट करने की क्षमता पर प्रकाश डालेगा।"" @EconomicTimes #Reliance","Oct 20, 2023 · 4:48 PM UTC",0,0
5,https://twitter.com/Src119119/status/1715405757246754981#m,Most pathetic brand I have dealt with in my entire life - Ajio. I wonder if the higher management is aware about how customers are being handled! #anilambani #tinaambani #Reliance #Ajio #mukeshambani,"Oct 20, 2023 · 4:32 PM UTC",0,0
6,https://twitter.com/sbn_co/status/1715401803658105316#m,Nifty - Technical Analysis - 23 Oct'23  #Nifty #ADANIENT #ASIANPAINT #BAJAJFINSV #BHARTIARTL #BPCL #BRITANNIA #HCLTECH #HDFCBANK #HEROMOTOCO #HINDUNILVR #INFY #ITC #LT #MARUTI #NESTLEIND #NTPC #ONGC #POWERGRID #RELIANCE #SUNPHARMA #TATACONSUM #TATAMOTORS #TATASTEEL #TCS #TECHM,"Oct 20, 2023 · 4:17 PM UTC",0,0
7,https://twitter.com/ShyamKu68731382/status/1715400894039388196#m,मेरे एरिया मे jio का नेटवर्क बहुत बेकार ढंग से काम कर रहा है बहुत बार कम्प्लेन किया गया लेकिन इसका कोई सुधार नहीं हुआ #jio #Reliance #mukeshambani,"Oct 20, 2023 · 4:13 PM UTC",0,0
8,https://twitter.com/__Stalkers_/status/1715396687454445892#m,"⏺️News Alert  ➡️ Reliance to announce its Q2 FY24 Results on 27th October, 2023  #Reliance #RIL #Q2 #Q2FY24 #Q2Results #ICICI #JSW","Oct 20, 2023 · 3:56 PM UTC",3,0
9,https://twitter.com/Md291097/status/1715394384043090343#m,#MukeshAmbani's #Reliance to offer #OnePlus   ’ most expensive phone ever at cheaper price,"Oct 20, 2023 · 3:47 PM UTC",0,0
10,https://twitter.com/btst_tech/status/1715393039773123064#m,🏷️Critical Assemblies  ▪️MTAR Technology  🏷️Pumps  ▪️KSB Pumps ▪️Kirloskar Brothers  🏷️Water Treatment  ▪️Ion Exchange  🏷️Chemicals  ▪️GFC  🏷️Technology  ▪️KPIT Tech  #trading #investing #adani #Reliance #StockMarket #StocksToBuy #technology #recommendations,"Oct 20, 2023 · 3:42 PM UTC",6,0
11,https://twitter.com/btst_tech/status/1715393033687154967#m,Green hydrogen is hydrogen fuel created using renewable energy instead of fossil fuels -Decarbonization -Versatility -Net Zero Emissions -Green Hydrogen Producers – PSU 🏷️Green Hydrogen Producers – Private   ▪️Adani Enterprises ▪️Reliance Industries ▪️L&T  #adani #Reliance #BTST,"Oct 20, 2023 · 3:42 PM UTC",8,2
12,https://twitter.com/manishkrkrasv/status/1715391438421393443#m,Very poor service @jio i am trying to cancel my amazon prime plan to avoid additional cost this month but could not able to do ao through app. They are nit allowing to cancel…. I tried calling customer care also but it is not connecting…  #jio #Reliance,"Oct 20, 2023 · 3:36 PM UTC",0,1
13,https://twitter.com/Raj_Upadhyay_AZ/status/1715380237717184549#m,"@reliancejio @JioCare #Jio #Reliance   So many discrepancies in the bill, jio seems to make money wrongly.   How can you do this jio?   @PMOIndia @TRAI #Ambani","Oct 20, 2023 · 2:51 PM UTC",1,1
14,https://twitter.com/Neyaz__khan/status/1715371170680438927#m,Hey @RelianceDigital  I ordered a product from the Reliance Digital store and I still did not get the product. I ordered the product around 3 pm order no : RDF56254881 #Reliance #reliancedigital,"Oct 20, 2023 · 2:15 PM UTC",0,2
15,https://twitter.com/PABAT_Academy/status/1715370767905440094#m,#Nifty hit a high of 19593.80 and was advised to be bought at 19541.70. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Oct 20, 2023 · 2:13 PM UTC",2,0
16,https://twitter.com/PABAT_Academy/status/1715370390854517205#m,#Naukari hit a low of 4188.05 and was advised to be sell at 4239.30. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Oct 20, 2023 · 2:12 PM UTC",1,0
17,https://twitter.com/IeGujarati/status/1715369994366660883#m,#Reliance બે પ્રોક્સી એડવાઈઝરી ફર્મ્સે RILના શેરધારકોને અનંત અંબાણીને કંપનીના ડિરેક્ટર બોર્ડમાં નિમણુક કરવાના પ્રસ્તાવની વિરુદ્ધમાં મત આપવાની સલાહ આપી  #anantambani #MukeshAmbani #RIL #BusinessNews https://gujarati.indianexpress.com/business/reliance-industries-board-anant-ambani-appointment-proxy-advisory-firms-iias-iss-ril-board-as/210355/,"Oct 20, 2023 · 2:10 PM UTC",1,0
18,https://twitter.com/PABAT_Academy/status/1715369108089479455#m,#Kei hit a low of 2621.25 and was advised to be sell at 2674.24. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Oct 20, 2023 · 2:07 PM UTC",1,0
19,https://twitter.com/PABAT_Academy/status/1715368671810551897#m,#Godrejcp hit a low of 985.05 and was advised to be sell at 990.85. 👍👍👍👍👍  #GANN #Nifty #Banknifty #StockMarket #Reliance #RelianceJio #AdaniGroup #adaniports #adani,"Oct 20, 2023 · 2:05 PM UTC",1,0
20,https://twitter.com/Gaurav85494833/status/1715364787096543393#m,"I would request each and everyone of you who are struggling to get there product must lodge a complaint against this company for there mistreat, forgery, mislead availability of product etc., #Reliance #reliancedigital","Oct 20, 2023 · 1:50 PM UTC",0,0
21,https://twitter.com/RAGHAVVAID16/status/1715364302809596250#m,Condition of  Reliance petrol pump at Lucknow Agra Expressway .  1 No soap  2 Smelling 3 No Water  4 Unclean  4 Wet Floor  #lucknowagra #expressway #Reliance #Reliancepetroleum,"Oct 20, 2023 · 1:48 PM UTC",0,1
22,https://twitter.com/kamisama_kotoba/status/1715363488888156310#m,"By trust to the whole, flowers come out. Not by effort.  努力ではなく、全体への信頼から花は花を咲かせます。  Anthesis mechanism of you is same as it.  あなたの開花メカニズムも、それと同様なんですよ。 #orchestra #harmony #totality #reliance","Oct 20, 2023 · 1:45 PM UTC",0,0
23,https://twitter.com/aka911_/status/1715363339604496858#m,Pehli baar mera prediction sahi hua !   Notification has come just an hour ago @umeshbatra90 #Reliance results on 27th Friday evening.,"Oct 20, 2023 · 1:44 PM UTC",3,1
24,https://twitter.com/heemu_77/status/1715358546450424189#m,"@JioCare @reliancejio @TRAI #Reliance #mukeshambani this is so irritating that despite full DND activated on my number and still I am getting these nude messages from last several months and Jio is helpless. Lodged several complaints on Jio customer care, but nothing. #Shamejio","Oct 20, 2023 · 1:25 PM UTC",0,3
25,https://twitter.com/tanosiisupi_bot/status/1715355939409408202#m,The field of view is limited. But I am being guarded by a Higher Self (Soul).  視界は限られている。 でもハイヤーセルフ（魂）に守られている。  RP @AndreiAndrei63 #ThisWorldStay #HigherSelf #reliance,"Oct 20, 2023 · 1:15 PM UTC",3,0
26,https://twitter.com/SB_PANCHAL/status/1715353570051314037#m,@ril_foundation @_MukeshAmbani @Nitaambani56 #RelianceFoundation #Reliance  Sir sketch made by my 13 yrs old son,"Oct 20, 2023 · 1:05 PM UTC",1,0
27,https://twitter.com/crossbarriers/status/1715348099240227120#m,"From an oil conglomerate to a powerful business, the Ambani's have succeeded in keeping up with Dhirubhai Ambani's legacy. Crossing all the barriers, Reliance is progressing our nation.  Read More: https://rb.gy/lrkiw @RIL_Updates #Reliance #RelianceIndustries #MukeshAmbani","Oct 20, 2023 · 12:43 PM UTC",0,0
28,https://twitter.com/JD_TheTrader/status/1715346998533009896#m,"Today's Profit Rs 1,27,035 From Option Buying https://t.me/banknifty_JD Join our Telegram Channel #astral #ubl #zeel #mcx #godrejcp #hdfcbank #colpal #polycab #nestle #nestleind #bhartiartl #nifty #banknifty #sensex #finnifty #midcpnifty #itc #tatamotors #reliance #stocks #trading","Oct 20, 2023 · 12:39 PM UTC",0,0
29,https://twitter.com/SyedKTweet/status/1715343819003289860#m,Those who have 5G They are only facing Problem  #Jio @reliancejio #Reliance,"Oct 20, 2023 · 12:26 PM UTC",3,1
30,https://twitter.com/MrSoni110529/status/1715342806972031216#m,"Sir aap ne fir se deficiency laga diya , kal aap ke customer support me bola ki nahi lagega deficiency kya chahte ho sir samjh nahi aa Raha Hain #BSES @reliancejio #reliance #froud","Oct 20, 2023 · 12:22 PM UTC",0,0
31,https://twitter.com/ShortCartels/status/1715341895918825947#m,STOCK TRADE  .                   #Maruti #tatachem #sbin #vedl #tatamotors #zeel #ITC #NTPC #reliance #mrf #nifty #banknifty #finnifty #godrejconsumer #Britannia #stocktowatch #gnfc #adaniports #coalindia #sail #coalindia #TCS #voltas #crude #crudeoil,"Oct 20, 2023 · 12:19 PM UTC",0,0
32,https://twitter.com/RohitRoy_20/status/1715341272754577584#m,Jio sim is not working. #JIO #RELIANCE #KOLKATA,"Oct 20, 2023 · 12:16 PM UTC",0,0
33,https://twitter.com/ShortCartels/status/1715337985321828551#m,STOCK TRADE  .                    #tatachem #sbin #vedl #tatamotors #zeel #ITC #NTPC #reliance #mrf #nifty #banknifty #finnifty #godrejconsumer #Britannia #stocktowatch #gnfc #adaniports #coalindia #sail #coalindia #TCS #voltas #crude #crudeoil,"Oct 20, 2023 · 12:03 PM UTC",0,0
